Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2018-10-05 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-05 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-05 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-05 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-05 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-05 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-05 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-05 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-05 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-05 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-05 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-05 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-05 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-05 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-05 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-05 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-05 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-05 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-05 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-05 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-05 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-05 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-05 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-06 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-06 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-06 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-06 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-06 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-06 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-06 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-06 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-06 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-06 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-06 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-06 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-06 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-06 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-06 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-06 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-06 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-06 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-06 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-06 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-06 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-06 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-06 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-06 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-07 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-07 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-07 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-07 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-07 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-07 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-07 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-07 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-07 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-07 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-07 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-07 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-07 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-07 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-07 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-07 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-07 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-07 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-07 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-07 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-07 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-07 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-07 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-07 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-09 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-09 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-09 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-09 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-09 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-09 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-09 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-09 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-09 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-09 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-09 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-09 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-09 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-09 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-09 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-09 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-09 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-09 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-09 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-09 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-09 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-09 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-09 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-09 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-10 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-10 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-10 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-10 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-10 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-10 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-10 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-10 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-10 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-10 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-10 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-10 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-10 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-10 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-10 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-10 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-10 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-10 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-10 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-10 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-10 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-10 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-10 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-10 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-12 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-12 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-12 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-12 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-12 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-12 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-12 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-12 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-12 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-12 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-12 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-12 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-12 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-12 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-12 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-12 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-12 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-12 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-12 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-12 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-12 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-12 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-12 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-12 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-13 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-13 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-13 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-13 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-13 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-13 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-13 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-13 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-13 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-13 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-13 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-13 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-13 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-13 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-13 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-13 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-13 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-13 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-13 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-13 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-13 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-13 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-13 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-13 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-14 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-14 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-14 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-14 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-14 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-14 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-14 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-14 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-14 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-14 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-14 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-14 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-14 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-14 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-14 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-14 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-14 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-14 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-14 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-14 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-14 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-14 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-14 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-14 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-15 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-15 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-15 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-15 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-15 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-15 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-15 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-15 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-15 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-15 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-15 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-15 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-15 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-15 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-15 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-15 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-15 16:00:56,0.0,0.0,0.0,0.0,0.0,43.6
2018-10-15 17:00:56,0.0,0.0,8.44,0.0,0.0,0.0
2018-10-15 18:00:56,0.0,0.0,2.77,0.0,10.34,0.0
2018-10-15 19:00:56,0.0,0.0,3.47,0.0,53.41,0.0
2018-10-15 20:00:56,0.0,0.0,3.07,0.0,77.89,0.0
2018-10-15 21:00:56,0.0,0.0,1.97,0.0,63.15,0.0
2018-10-15 22:00:56,0.0,0.0,1.66,0.0,30.79,0.0
2018-10-15 23:00:56,0.0,0.0,1.72,0.0,26.8,0.0
2018-10-16 00:00:56,0.0,0.0,1.52,0.0,18.38,0.0
2018-10-16 01:00:56,0.0,0.0,1.5,0.0,17.57,0.0
2018-10-16 02:00:56,0.0,0.0,1.36,0.0,13.47,0.0
2018-10-16 03:00:56,0.0,0.0,1.1,0.0,11.98,0.0
2018-10-16 04:00:56,0.0,0.0,0.52,0.0,9.99,0.0
2018-10-16 05:00:56,0.0,0.0,0.0,0.0,8.18,0.0
2018-10-16 06:00:56,0.0,0.0,0.28,0.0,10.3,0.0
2018-10-16 07:00:56,0.0,0.0,0.3,0.0,13.93,0.0
2018-10-16 08:00:56,0.0,0.0,0.35,0.0,19.04,0.0
2018-10-16 09:00:56,0.0,0.0,0.68,0.0,16.57,0.0
2018-10-16 10:00:56,0.0,0.0,2.19,0.0,0.0,0.0
2018-10-16 11:00:56,0.0,0.0,4.54,0.0,11.11,0.0
2018-10-16 12:00:56,0.0,0.0,9.73,0.0,0.0,0.0
